Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²)
1900-01-01 15:32:11.826,COM12,,"-1,004","-0,028","-0,007","0,0","0,061","0,0","-56,151","87,737","-102,7","92,053","72,098","116,064","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","-1,039","-16,59684718410158","6,842857734986317","-0,2844334818651836"
1900-01-01 15:32:11.926,COM12,,"-1,01","-0,029","-0,009","0,0","-0,916","0,0","-58,118","87,753","-102,2","92,053","72,111","116,077","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","-1,0479999999999998","-16,955905286561492","6,536306978164157","-0,29143828422257595"
1900-01-01 15:32:12.026,COM12,,"-1,023","-0,028","-0,01","0,061","-4,944","0,0","-54,844","87,632","-96,328","92,092","72,124","115,986","20,09",96600,"402,67",,,,,,,,,,,,,,"0,1","-1,061","-17,385232217765726","6,21877647692173","-0,33148856642161223"
1900-01-01 15:32:12.126,COM12,,"-1,011","-0,029","0,0","-0,427","-26,55","0,0","-34,239","86,49","-71,867","92,430","72,254","115,388","20,06",96600,"402,67",,,,,,,,,,,,,,"0,1","-1,0399999999999998","-17,68261070197596","5,690374028837814","-0,4965106702115822"
1900-01-01 15:32:12.225,COM12,,"-0,99","-0,026","0,071","0,732","-42,175","0,61","-18,04","83,205","-49,603","93,275","72,579","113,815","20,07",96600,"402,67",,,,,,,,,,,,,,"0,099","-0,9450000000000001","-18,028196995122503","4,829947043858798","-0,4071238400134296"
1900-01-01 15:32:12.325,COM12,,"-0,985","-0,026","0,161","-0,549","-49,377","0,61","-11,931","78,723","-36,876","94,393","72,982","111,540","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","-0,8499999999999999","-18,409470660978897","3,7710881390595845","-0,29751785564179567"
1900-01-01 15:32:12.425,COM12,,"-0,933","-0,025","0,234","-0,977","-61,096","1,465","-8,97","73,416","-27,224","95,472","73,385","108,654","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","-0,7240000000000001","-18,11063288613685","2,6431389814908655","-0,4701940750952964"
1900-01-01 15:32:12.525,COM12,,"-0,827","-0,023","0,353","0,366","-87,524","2,563","-6,795","65,814","-18,38","96,603","73,762","104,442","20,09",96601,"402,58",,,,,,,,,,,,,,"0,1","-0,497","-16,9115690625051","1,4748095376608092","-0,5279972338933661"
1900-01-01 15:32:12.625,COM12,,"-0,77","-0,016","0,532","1,343","-85,51","2,014","-5,565","57,228","-10,684","97,331","74,061","98,956","20,07",96601,"402,58",,,,,,,,,,,,,,"0,1","-0,254","-15,79742757831723","0,4302177588241357","-0,06617961060661859"
1900-01-01 15:32:12.725,COM12,,"-0,723","-0,012","0,642","0,183","-58,716","2,014","-4,977","50,718","-3,746","97,331","74,230","94,003","20,11",96601,"402,58",,,,,,,,,,,,,,"0,1","-0,09299999999999997","-14,696765859572176","-0,47274874310464376","0,11035707925697835"
