Pitch,Roll,Yaw,Acc_X,Acc_Y,Acc_Z,Gravity_Magnitude
0.0,30.0,240.0,-2.452500000000002,-4.2478546055626705,8.495709211125344,9.81
0.0,30.0,280.0,0.8517443114562914,-4.83048202852488,8.495709211125344,9.81
0.0,30.0,320.0,3.7574479934985856,-3.1528732255124763,8.495709211125344,9.81
0.0,30.0,360.0,4.904999999999999,-1.2013785099635533e-15,8.495709211125344,9.81
0.0,40.0,0.0,6.305746451024951,0.0,7.514895986997175,9.81
0.0,40.0,40.0,4.83048202852488,4.053255688543706,7.514895986997175,9.81
0.0,40.0,80.0,1.0949813800501964,6.209947993498587,7.514895986997175,9.81
0.0,40.0,120.0,-3.1528732255124736,5.460936616411174,7.514895986997175,9.81
0.0,40.0,160.0,-5.925463408575077,2.1566923049548814,7.514895986997175,9.81
0.0,40.0,200.0,-5.925463408575077,-2.15669230495488,7.514895986997175,9.81
0.0,40.0,240.0,-3.152873225512478,-5.460936616411172,7.514895986997175,9.81
0.0,40.0,280.0,1.0949813800501937,-6.209947993498587,7.514895986997175,9.81
0.0,40.0,320.0,4.830482028524879,-4.053255688543708,7.514895986997175,9.81
0.0,40.0,360.0,6.305746451024951,-1.5444624414964975e-15,7.514895986997175,9.81
0.0,50.0,0.0,7.514895986997175,0.0,6.305746451024952,9.81
0.0,50.0,40.0,5.756744311456293,4.83048202852488,6.305746451024952,9.81
0.0,50.0,80.0,1.3049479934985877,7.400727831075146,6.305746451024952,9.81
0.0,50.0,120.0,-3.7574479934985856,6.508090831537286,6.305746451024952,9.81
0.0,50.0,160.0,-7.06169230495488,2.570245802550268,6.305746451024952,9.81
0.0,50.0,200.0,-7.061692304954881,-2.570245802550266,6.305746451024952,9.81
0.0,50.0,240.0,-3.7574479934985905,-6.5080908315372845,6.305746451024952,9.81
0.0,50.0,280.0,1.3049479934985846,-7.400727831075148,6.305746451024952,9.81
0.0,50.0,320.0,5.756744311456291,-4.830482028524883,6.305746451024952,9.81
0.0,50.0,360.0,7.514895986997175,-1.840618663280276e-15,6.305746451024952,9.81
0.0,60.0,0.0,8.495709211125343,0.0,4.905000000000001,9.81
0.0,60.0,40.0,6.508090831537286,5.460936616411173,4.905000000000001,9.81
0.0,60.0,80.0,1.4752644225000708,8.366640298453468,4.905000000000001,9.81
0.0,60.0,120.0,-4.24785460556267,7.3575,4.905000000000001,9.81
0.0,60.0,160.0,-7.983355254037355,2.9057036820422955,4.905000000000001,9.81
0.0,60.0,200.0,-7.983355254037356,-2.9057036820422932,4.905000000000001,9.81
0.0,60.0,240.0,-4.247854605562675,-7.357499999999998,4.905000000000001,9.81
