Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²),Position X(m),Position Y(m),Position Z(m)
1900-01-01 09:06:27.202,COM12,2024-09-20 13:51:32.004,"-0,013","-0,006","0,999","0,0","0,0","0,0","-0,505","0,549","163,685","97,968","45,409","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,107","0,98","-0,013032881184215611","-0,002282666041873778","-0,008978640362192536","-0,07283796662655816","-0,0071455905734808985","-0,028087910433981553"
1900-01-01 09:06:27.297,COM12,2024-09-20 13:51:32.104,"-0,013","-0,005","0,998","0,0","0,0","0,0","-0,505","0,549","163,685","97,968","45,422","48,997","19,49",96530,"408,64",,,,,,,,,,,,,,"0,095","0,98","-0,013032881184215611","0,007527333958126221","-0,01878864036219241","-0,07736447483899124","-0,007220459974588942","-0,030261252307948912"
1900-01-01 09:06:27.390,COM12,2024-09-20 13:51:32.204,"-0,013","-0,005","0,999","0,0","0,0","0,0","-0,505","0,555","163,685","97,955","45,435","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,093","0,981","-0,012047032010747832","0,007238771299517874","-0,008968743660435763","-0,08189988292154984","-0,007231145044809392","-0,032466410280067644"
1900-01-01 09:06:27.498,COM12,2024-09-20 13:51:32.304,"-0,012","-0,005","0,999","0,0","0,0","0,0","-0,505","0,555","163,685","97,968","45,422","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,108","0,982","-0,002237032010747833","0,007238771299517874","-0,008968743660435763","-0,08719290117815257","-0,007159120485014918","-0,03513185031890601"
1900-01-01 09:06:27.591,COM12,2024-09-20 13:51:32.404,"-0,013","-0,006","1,0","0,0","0,0","0,0","-0,505","0,555","163,685","97,968","45,422","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,093","0,981","-0,012047032010747832","-0,0025712287004821255","0,0008412563395641115","-0,09185497279008809","-0,00711933789333348","-0,03741981432626927"
1900-01-01 09:06:27.699,COM12,2024-09-20 13:51:32.504,"-0,012","-0,005","0,999","0,0","0,0","0,0","-0,5","0,56","163,685","97,968","45,422","48,997","19,51",96530,"408,64",,,,,,,,,,,,,,"0,108","0,982","-0,0016559015052304005","0,006176702605193325","-0,008967921878920038","-0,09728830587136376","-0,007001093695419674","-0,04018140662722878"
1900-01-01 09:06:27.793,COM12,2024-09-20 13:51:32.604,"-0,012","-0,006","0,999","0,0","0,0","0,0","-0,5","0,56","163,685","97,981","45,422","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,094","0,981","-0,0016559015052304005","-0,003633297394806674","-0,008967921878920038","-0,10203194954335948","-0,006930281264867799","-0,04266425529874901"
1900-01-01 09:06:27.901,COM12,2024-09-20 13:51:32.704,"-0,012","-0,005","1,0","0,0","0,0","0,0","-0,5","0,56","163,685","97,981","45,422","49,010","19,47",96530,"408,64",,,,,,,,,,,,,,"0,108","0,983","-0,0016559015052304005","0,006176702605193325","0,0008420781210798367","-0,10750140777187325","-0,006776877242919095","-0,04550706794341904"
1900-01-01 09:06:27.993,COM12,2024-09-20 13:51:32.804,"-0,013","-0,005","0,999","0,0","0,0","0,0","-0,5","0,56","163,685","97,968","45,422","48,997","19,49",96530,"408,64",,,,,,,,,,,,,,"0,092","0,981","-0,0114659015052304","0,006176702605193325","-0,008967921878920038","-0,11225762328279934","-0,006593920131890214","-0,04800462765003225"
1900-01-01 09:06:28.103,COM12,2024-09-20 13:51:32.904,"-0,013","-0,006","1,0","0,0","0,0","0,0","-0,5","0,566","163,685","97,994","45,409","49,010","19,47",96530,"408,64",,,,,,,,,,,,,,"0,11","0,981","-0,010480053418911561","-0,003921859735201455","0,0008521720411618361","-0,11807121134440587","-0,006422621567151619","-0,0509805290610239"
1900-01-01 09:06:28.197,COM12,2024-09-20 13:51:33.004,"-0,013","-0,006","1,0","0,0","0,0","0,0","-0,5","0,566","163,685","97,968","45,422","49,010","19,49",96530,"408,64",,,,,,,,,,,,,,"0,094","0,981","-0,010480053418911561","-0,003921859735201455","0,0008521720411618361","-0,12313178834906097","-0,006310892709904333","-0,05351604229280651"
1900-01-01 09:06:28.291,COM12,2024-09-20 13:51:33.104,"-0,013","-0,006","0,999","0,0","0,0","0,0","-0,5","0,566","163,685","97,968","45,435","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,094","0,98","-0,010480053418911561","-0,003921859735201455","-0,008957827958838038","-0,12828496710572557","-0,006233817405277286","-0,05613070689243341"
1900-01-01 09:06:28.405,COM12,2024-09-20 13:51:33.204,"-0,013","-0,005","1,0","0,0","0,0","0,0","-0,494","0,566","163,685","97,981","45,409","49,010","19,51",96530,"408,64",,,,,,,,,,,,,,"0,114","0,982","-0,010768545340615984","0,004902219405315121","0,0008432614863860266","-0,1346745148896931","-0,0060766338562742855","-0,05929072408272513"
1900-01-01 09:06:28.493,COM12,2024-09-20 13:51:33.304,"-0,014","-0,006","0,999","0,0","0,0","0,0","-0,494","0,571","163,685","97,981","45,422","49,010","19,51",96530,"408,64",,,,,,,,,,,,,,"0,088","0,979","-0,019757005301014846","-0,0051482492022170215","-0,00895824473480289","-0,1397597956386489","-0,0059951672286904295","-0,06179940824526435"
1900-01-01 09:06:28.601,COM12,2024-09-20 13:51:33.404,"-0,011","-0,006","0,999","0,0","0,0","0,0","-0,494","0,571","163,685","97,968","45,448","48,997","19,47",96530,"408,64",,,,,,,,,,,,,,"0,108","0,982","0,009672994698985166","-0,0051482492022170215","-0,00895824473480289","-0,14588799620219844","-0,005955234637168539","-0,0649827368658765"
1900-01-01 09:06:28.694,COM12,2024-09-20 13:51:33.504,"-0,012","-0,004","0,999","0,0","0,305","0,916","-0,494","0,582","163,707","97,994","45,500","49,062","19,49",96530,"408,64",,,,,,,,,,,,,,"0,093","0,983","0,0016499507628493504","0,013988559293415366","-0,008939295474213793","-0,15115078737444046","-0,005799861189584828","-0,0678012524779601"
1900-01-01 09:06:28.802,COM12,2024-09-20 13:51:33.604,"-0,013","0,032","0,999","-0,244","0,366","1,831","-0,494","0,626","163,795","98,163","46,176","49,231","19,49",96530,"408,64",,,,,,,,,,,,,,"0,108","1,018","-0,001008387544613687","0,3652296087903282","-0,008859882920745576","-0,15727417766484833","-0,0013593893515894849","-0,07117770905670283"
1900-01-01 09:06:28.896,COM12,2024-09-20 13:51:33.704,"-0,017","0,008","1,0","0,0","0,244","2,319","-0,428","0,637","164,053","95,940","53,755","42,380","19,51",96530,"408,64",,,,,,,,,,,,,,"0,094","0,991","-0,041773651438910736","0,11897604546585402","0,0008799587757089","-0,16297290712394716","0,0035567381044020064","-0,07410870150394044"
1900-01-01 09:06:28.989,COM12,2024-09-20 13:51:33.804,"-0,015","0,0","0,999","-0,427","0,305","1,038","-0,39","0,643","164,24","90,077","68,640","26,416","19,47",96530,"408,64",,,,,,,,,,,,,,"0,093","0,984","-0,023064495963620812","0,03436315270488213","-0,008965007513348056","-0,16881049662715558","0,008717773239882796","-0,07708605153044572"
1900-01-01 09:06:29.095,COM12,2024-09-20 13:51:33.904,"-0,018","0,012","1,0","-0,305","-0,061","4,028","-0,396","0,665","164,41","81,744","86,541","3,913","19,51",96530,"408,64",,,,,,,,,,,,,,"0,106","0,994","-0,048693128163202815","0,15242843820935642","0,0008950320465590522","-0,17601120925326283","0,016312929326022088","-0,0804695336902583"
1900-01-01 09:06:29.187,COM12,2024-09-20 13:51:34.004,"-0,017","-0,01","0,999","-0,305","-0,244","0,427","-0,352","0,654","164,515","69,342","107,692","-26,494","19,46",96530,"408,64",,,,,,,,,,,,,,"0,092","0,972","-0,042772570818582975","-0,06991453265573075","-0,008985817416414577","-0,1826229114021229","0,022313194985065635","-0,08348219680644403"
1900-01-01 09:06:29.299,COM12,2024-09-20 13:51:34.104,"-0,017","-0,001","0,999","-0,549","0,0","2,625","-0,308","0,643","164,691","51,038","130,130","-71,175","19,54",96530,"408,64",,,,,,,,,,,,,,"0,112","0,981","-0,046664675951961984","0,011987218511154278","-0,00905052067235701","-0,19125730180022438","0,029768233891166042","-0,087263316418332"
1900-01-01 09:06:29.391,COM12,2024-09-20 13:51:34.204,"-0,017","-0,018","0,999","0,0","-0,122","0,122","-0,286","0,654","164,861","29,250","153,985","-127,452","19,44",96530,"408,64",,,,,,,,,,,,,,"0,092","0,964","-0,04589550611461296","-0,15855440102136464","-0,009048728592011557","-0,19873829633384754","0,03455001139950369","-0,09044582453832849"
1900-01-01 09:06:29.499,COM12,2024-09-20 13:51:34.304,"-0,016","-0,006","0,999","0,0","-0,244","0,0","-0,291","0,643","164,883","3,666","178,893","-195,052","19,46",96530,"408,64",,,,,,,,,,,,,,"0,108","0,977","-0,03768729862826101","-0,039470396129065694","-0,009065734558520333","-0,20795991804625738","0,03970301968710281","-0,09428755505925841"
1900-01-01 09:06:29.594,COM12,2024-09-20 13:51:34.404,"-0,016","-0,006","0,998","-0,061","0,366","0,549","-0,302","0,659","164,993","-26,650","202,098","-271,739","19,51",96529,"408,72",,,,,,,,,,,,,,"0,095","0,976","-0,034591348394616334","-0,03813158478197712","-0,018834863887263964","-0,2163837166569904","0,043891620905944694","-0,0978368397011034"
1900-01-01 09:06:29.688,COM12,2024-09-20 13:51:34.504,"-0,016","-0,015","1,0","-0,183","0,427","-0,183","-0,319","0,692","165,042","-65,273","223,808","-346,593","19,49",96528,"408,81",,,,,,,,,,,,,,"0,094","0,969","-0,028399790393850904","-0,1249631204782225","0,0008675197608276619","-0,22496978425132","0,0469319574530953","-0,10134109804737494"
1900-01-01 09:06:29.796,COM12,2024-09-20 13:51:34.604,"-0,011","-0,01","0,999","0,0","0,244","0,732","-0,363","0,709","165,086","-107,770","234,000","-403,819","19,49",96530,"408,64",,,,,,,,,,,,,,"0,108","0,978","0,025383841870924545","-0,06928368007566835","-0,008862062835904183","-0,23453855073875451","0,04961698523733383","-0,10547063431209426"
1900-01-01 09:06:29.890,COM12,2024-09-20 13:51:34.704,"-0,017","0,01","1,001","-0,305","-0,061","3,357","-0,363","0,709","165,278","-148,889","228,293","307,099","19,51",96529,"408,72",,,,,,,,,,,,,,"0,094","0,9939999999999999","-0,03357347076859568","0,12736282924462564","0,01075793716409379","-0,24316357675812178","0,05307933182356176","-0,10896980318749395"
1900-01-01 09:06:29.999,COM12,2024-09-20 13:51:34.804,"-0,01","0,002","1,0","-0,183","0,122","3,113","-0,352","0,725","165,553","-187,330","198,679","378,053","19,47",96529,"408,72",,,,,,,,,,,,,,"0,109","0,992","0,03713740483952259","0,04701456829078306","0,0009704668626646651","-0,25272370720985143","0,05765276061047609","-0,1130158199581302"
1900-01-01 09:06:30.092,COM12,2024-09-20 13:51:34.904,"-0,019","0,017","1,0","-0,549","0,0","8,911","-0,346","0,742","166,025","-218,686","144,872","386,867","19,47",96528,"408,81",,,,,,,,,,,,,,"0,093","0,998","-0,04880661700403657","0,19357795533870487","0,0010014707792951327","-0,2613026441908777","0,06322911613687057","-0,11645926428937083"
1900-01-01 09:06:30.187,COM12,2024-09-20 13:51:35.004,"-0,029","-0,007","0,999","-0,183","0,0","0,061","-0,324","0,769","166,289","-235,261","59,748","390,091","19,44",96528,"408,81",,,,,,,,,,,,,,"0,095","0,963","-0,14343346742090873","-0,04598344567131432","-0,00876959696386237","-0,2713605614837868","0,06851039269030498","-0,12005590679947353"
